[Fri 2020-04-10 10:08:23 AM] [client ::1] Raphael vient de s'authentifier dans l'applicationrn[Fri 2020-04-10 10:10:49 AM] [client ::1] Raphael vient de s'authentifier dans l'applicationrn[Fri 2020-04-10 10:13:36 AM] [client ::1] Wilfrid a tenté de s'authentifier dans l'applicationn[Fri 2020-04-10 10:14:45 AM] [client ::1] Wilfrid a tenté de s'authentifier dans l'application
[Fri 2020-04-10 10:14:49 AM] [client ::1] Wilfrid a tenté de s'authentifier dans l'application
[Fri 2020-04-10 10:15:08 AM] [client ::1] Raphael vient de s'authentifier dans l'application
[Fri 2020-04-10 10:20:55 AM] [client ::1] Raphael vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-04-10 10:21:02 AM] [client ::1] Wilfrid a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Fri 2020-04-10 10:22:36 AM] [client ::1] Wilfrid (Id : 2) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Fri 2020-04-10 10:22:40 AM] [client ::1] Wilfrid (Id : 2) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Fri 2020-04-10 10:23:01 AM] [client ::1] Wilfrid (Id : 2) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Fri 2020-04-10 10:23:10 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-04-10 10:23:17 AM] [client ::1] Wilfrid (Id : 2) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Fri 2020-04-10 10:25:45 AM] [client ::1] Wilfrid (Id : 2) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Fri 2020-04-10 10:25:53 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-04-10 10:36:12 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-04-10 10:38:38 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-04-10 10:39:51 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-01 11:30:59 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Mon 2020-05-04 01:03:58 PM] [client ::1] michel vient de créer un compte sur l'application, STATUS OK
[Mon 2020-05-04 01:04:08 PM] [client ::1] michel (Id : 6) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Mon 2020-05-04 01:04:38 PM] [client ::1] michel (Id : 6) vient de s'authentifier dans l'application, STATUS OK
[Mon 2020-05-04 02:48:45 PM] [client ::1] michel vient de créer un compte sur l'application, STATUS OK
[Mon 2020-05-04 02:49:03 PM] [client ::1] michel (Id : 7) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Mon 2020-05-04 02:49:33 PM] [client ::1] michel (Id : 7) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Wed 2020-05-06 10:09:47 AM] [client ::1] Raphael vient de créer un compte sur l'application, STATUS OK
[Wed 2020-05-06 10:10:48 AM] [client ::1] Raphael vient de créer un compte sur l'application, STATUS OK
[Wed 2020-05-06 10:12:15 AM] [client ::1] Raphael vient de créer un compte sur l'application, STATUS OK
[Wed 2020-05-06 10:12:33 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 12:29:28 PM] [client ::1] Raphael vient de créer un compte sur l'application, STATUS OK
[Wed 2020-05-06 12:34:05 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 01:27:41 PM] [client ::1] Raphael vient de créer un compte sur l'application, STATUS OK
[Wed 2020-05-06 01:27:56 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Wed 2020-05-06 01:28:28 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais son compte n'est pas validé par l'administrateur , STATUS KO
[Wed 2020-05-06 01:28:44 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 01:29:40 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 01:30:04 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 02:35:34 PM] [client ::1] Michel vient de créer un compte sur l'application, STATUS OK
[Wed 2020-05-06 02:35:47 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 02:39:15 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 02:43:37 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 02:45:55 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:06:10 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:06:23 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:08:42 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:09:15 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:09:42 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:10:28 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:19:55 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 03:58:06 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 04:23:43 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 04:44:02 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Wed 2020-05-06 04:50:52 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 09:17:11 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 11:40:47 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 11:46:28 AM] [client ::1] Michel (Id : 2) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 11:50:00 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 01:42:52 PM] [client ::1] Lisiane vient de créer un compte sur l'application, STATUS OK
[Thu 2020-05-07 02:20:25 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 04:02:24 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 04:12:16 PM] [client ::1] Un admin a supprimé l'utilisateur Lisiane (3), STATUS 1
[Thu 2020-05-07 04:14:11 PM] [client ::1] Un admin a supprimé l'utilisateur Lisiane (3), STATUS 0
[Thu 2020-05-07 04:14:47 PM] [client ::1] Un admin a supprimé l'utilisateur Lisiane (3), STATUS 0
[Thu 2020-05-07 04:15:46 PM] [client ::1] Un admin a supprimé l'utilisateur Lisiane (3), STATUS 0
[Thu 2020-05-07 04:34:13 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 04:34:20 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 05:45:50 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Thu 2020-05-07 05:49:34 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Thu 2020-05-07 05:49:48 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 10:22:52 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Thu 2020-05-07 10:24:29 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-08 10:04:31 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-08 10:04:52 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-08 10:14:18 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-08 10:18:43 AM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-08 10:19:09 AM] [client ::1] RAphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Fri 2020-05-08 06:22:55 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Fri 2020-05-08 06:23:01 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Sat 2020-05-09 01:15:36 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Sat 2020-05-09 01:15:47 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Sat 2020-05-09 01:18:18 PM] [client ::1] Michel (Id : 2) vient de s'authentifier dans l'application, STATUS OK
[Sat 2020-05-09 01:20:23 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:20:51 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:21:11 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:21:32 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:21:54 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:21:59 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:22:04 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:23:19 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:24:34 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:25:32 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:25:39 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:26:11 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:26:32 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:27:20 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:27:30 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:27:40 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier hors de sa plage horaire , STATUS KO
[Sat 2020-05-09 01:27:54 PM] [client ::1] Michel (Id : 2) a tenté de s'authentifier avec un mot de passe faux dans l'application, STATUS KO
[Sat 2020-05-09 01:30:34 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Sat 2020-05-09 01:30:38 PM] [client ::1] Raphael (Id : 1) a tenté de s'authentifier mais sa date de validité est expirée , STATUS KO
[Sat 2020-05-09 01:31:00 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Sat 2020-05-09 01:55:50 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Sat 2020-05-09 02:19:59 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Sat 2020-05-09 03:45:38 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Sat 2020-05-09 04:52:16 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
[Sat 2020-05-09 05:03:16 PM] [client ::1] Raphael (Id : 1) vient de s'authentifier dans l'application, STATUS OK
